#Core: ddr2_phy - Instance: ddr_m0|ddr2_controller_phy_inst|ddr2_phy_inst
#Path, Setup Margin, Hold Margin
"Address Command (Slow 1200mV 85C Model)",2.629,1.129
"DQS vs CK (Slow 1200mV 85C Model)",1.067,1.092
"Mimic (Slow 1200mV 85C Model)",0.579,
"Phy (Slow 1200mV 85C Model)",-0.269,0.421
"Phy Reset (Slow 1200mV 85C Model)",2.003,1.156
"Read Capture (Slow 1200mV 85C Model)",0.036,0.051
"Write (Slow 1200mV 85C Model)",0.054,0.329
 
"Address Command (Slow 1200mV 0C Model)",2.776,1.058
"DQS vs CK (Slow 1200mV 0C Model)",1.087,1.102
"Mimic (Slow 1200mV 0C Model)",0.552,
"Phy (Slow 1200mV 0C Model)",0.252,0.383
"Phy Reset (Slow 1200mV 0C Model)",2.229,1.065
"Read Capture (Slow 1200mV 0C Model)",-0.010,0.005
"Write (Slow 1200mV 0C Model)",0.071,0.358
 
"Address Command (Fast 1200mV 0C Model)",3.195,0.955
"DQS vs CK (Fast 1200mV 0C Model)",1.257,1.215
"Mimic (Fast 1200mV 0C Model)",1.540,
"Phy (Fast 1200mV 0C Model)",1.540,0.145
"Phy Reset (Fast 1200mV 0C Model)",3.658,0.488
"Read Capture (Fast 1200mV 0C Model)",0.295,0.300
"Write (Fast 1200mV 0C Model)",0.217,0.520
